Vehicle speed (km/h),Instant fuel economy (l/100 km),Engine coolant temperature (°C),Engine RPM (RPM),Boost (bar),Acceleration (g),Engine Power (hp),Engine Torque (N•m)
48,32.46323,88,1944,0.19,-0.02611216,56.44075,206.7435
48,33.98765,88,1973,0.22,0.0326873,59.09111,213.2704
50,33.75233,88,2028,0.25,0.0392282,61.12708,214.6353
51,42.70986,88,2145,0.48,0.05883929,78.89658,261.9186
59,71.26114,88,2568,1.29,0.1381519,152.2876,422.2844
64,78.80042,88,2779,1.55,0.1731321,182.6705,468.0747
69,77.06699,88,3062,1.55,0.1977675,192.6093,447.9273
78,75.80315,88,3348,1.55,0.2078653,214.1616,455.5034
84,71.48939,88,3523,1.55,0.2102075,217.5107,439.6464
88,68.58381,88,3720,1.55,0.1748145,218.607,418.4626
92,23.92918,88,2596,0.34,0.07509881,79.73988,218.729
92,39.79641,88,2650,0.98,-0.01453564,132.6147,356.3536
95,52.39689,88,2740,1.48,0.05384239,180.2972,468.5693
98,56.22312,88,2854,1.55,0.110869,199.5726,497.9461
107,55.64692,88,3107,1.55,0.1497139,215.6675,494.2867
111,53.55772,88,3188,1.55,0.1480606,215.3302,480.9745
114,53.10527,88,3268,1.55,0.1286888,219.2816,477.8105
