Vehicle speed (km/h),Instant fuel economy (l/100 km),Engine coolant temperature (°C),Engine RPM (RPM),Boost (bar),Acceleration (g),Engine Power (hp),Engine Torque (N•m)
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,16.02267,0
0,0,74,831,-0.03,0,15.85401,135.8543
0,0,74,830,-0.03,0,15.85401,136.018
0,0,74,827,-0.03,0,15.64921,134.748
0,0,74,828,-0.03,0,16.05881,138.1079
0,0,74,830,-0.03,0,15.92629,136.6382
0,0,74,835,-0.03,0,15.92629,135.82
0,0,74,829,-0.03,0,15.85401,136.1821
0,0,74,878,-0.03,0,15.45645,125.3576
0,0,74,820,-0.03,0,15.85401,137.6768
0,0,74,829,-0.03,0,15.95038,137.0099
0,0,74,829,-0.03,0,15.95038,137.0099
0,0,74,832,-0.03,0,15.68535,134.2475
0,0,74,831,-0.03,0,15.45645,132.4476
0,0,74,829,-0.03,0,16.15519,138.7691
0,0,74,829,-0.03,0,16.15519,138.7691
0,0,74,829,-0.03,0,15.79377,135.6647
0,0,74,829,-0.03,0,16.15519,138.7691
0,0,74,831,-0.03,0,15.68535,134.4091
0,0,74,832,-0.03,0,15.38417,131.6698
0,0,74,829,-0.03,0,15.58897,133.9055
0,0,74,829,-0.03,0,15.49259,133.0776
0,0,74,831,-0.03,0,15.64921,134.0994
0,0,74,831,-0.03,0,15.72149,134.7188
0,0,75,830,-0.03,0,16.22747,139.2221
0,0,75,830,-0.03,0,16.22747,139.2221
0,0,75,829,-0.03,0,16.09495,138.2517
0,0,75,829,-0.03,0,15.95038,137.0099
0,0,75,831,-0.03,0,15.72149,134.7188
0,0,75,831,-0.03,0,15.89015,136.164
0,0,75,832,-0.03,0,15.85401,135.691
0,0,75,828,-0.03,0,15.72149,135.2069
0,0,75,831,-0.03,0,15.51669,132.9638
0,0,75,830,-0.03,0,15.95038,136.8449
0,0,75,833,-0.03,0,15.92629,136.1461
0,0,75,827,-0.03,0,15.64921,134.748
0,0,75,823,-0.03,0,15.89015,137.4876
0,0,75,823,-0.03,0,15.11913,130.8165
0,0,75,842,-0.03,0,15.21551,128.6797
0,0,75,810,-0.03,0,15.89015,139.6942
1,441.3613,75,849,-0.03,0.02047734,15.98653,134.0855
2,231.3239,75,865,-0.03,0.03862369,16.75754,137.9525
5,91.39871,75,874,-0.02,0.05957545,16.55274,134.8633
7,68.75335,75,955,-0.02,0.08109424,17.43218,129.9822
9,70.17878,75,1409,-0.01,0.039241,22.87748,115.6199
14,82.00986,75,2055,0.09,0.09847583,41.58665,144.1045
18,103.4204,75,2225,0.29,0.1572019,67.42772,215.7963
20,34.77342,75,1303,0.06,0.04021066,25.19052,137.6665
19,37.23379,75,1272,0.02,-0.03451709,25.62422,143.4495
19,37.82897,75,1249,0.02,-0.01574868,26.03382,148.4263
20,38.84778,75,1322,0.03,0.01966314,28.14207,151.5863
21,41.08413,76,1525,0.07,0.03843953,31.25023,145.9213
24,40.56345,76,1486,0.05,0.0329303,35.26191,168.975
23,39.07337,76,1405,0.03,-0.03843356,32.55131,164.9786
22,36.94893,76,1322,0.02,-0.03701119,29.44316,158.5946
20,36.02067,76,1207,0,-0.04593151,26.09406,153.9465
19,36.9537,76,1250,0.01,-0.01794064,25.43147,144.8761
20,37.73357,76,1253,0.02,0.01820225,27.33491,155.3467
20,28.35422,76,918,0,0.01820225,20.54034,159.331
18,27.03306,76,875,-0.01,-0.03399934,17.62493,143.4349
13,37.5839,76,876,-0.02,-0.1212614,17.69722,143.8588
9,52.03355,76,886,-0.02,-0.1601207,16.96234,136.3288
1,437.7027,76,820,-0.02,-0.1305885,15.85401,137.6768
0,0,76,804,-0.03,-0.07791522,16.25156,143.9377
0,0,76,876,-0.03,-0.01820271,15.75763,128.0921
5,187.3208,76,1528,0.03,0.08922109,33.92469,158.0986
9,104.0671,76,1362,0.09,0.1382657,33.92469,177.3676
12,89.05388,78,1937,0.13,0.137353,38.70739,142.2983
19,119.7013,78,2715,0.47,0.1497538,82.3782,216.0618
26,69.28332,78,1729,0.23,0.1387349,65.24719,268.7214
25,46.25813,78,1627,0.11,0.01958685,41.88783,183.3309
26,56.13279,78,1898,0.23,-0.003283885,52.86275,198.3303
31,66.606,78,2232,0.46,0.107357,74.78851,238.6031
36,90.89242,78,2683,0.9,0.1748147,118.5195,314.5609
48,39.60722,78,1852,0.25,0.1892199,68.86133,264.7707
47,32.74349,78,1941,0.21,0.05216549,55.74202,204.4997
49,43.30599,78,2080,0.48,0.01560056,76.86061,263.1334
52,52.62129,78,2234,0.74,0.08831136,99.11164,315.9199
57,62.62815,78,2429,1.04,0.1240837,129.3017,379.0637
65,68.24969,78,2734,1.26,0.1508777,160.6845,418.5148
68,70.2228,78,2622,1.28,0.1550429,172.9605,469.7314
69,23.14709,78,1915,0.21,0.07315847,57.85026,215.1156
67,23.78344,78,1900,0.21,-0.02295451,57.71774,216.3173
67,29.91918,78,1941,0.43,-0.03640047,72.60798,266.3755
69,32.81662,84,1928,0.42,0.03865569,82.01678,302.9222
67,20.54183,84,1847,0.12,-0.03236952,49.85098,192.1951
65,20.16585,84,1806,0.09,-0.05799742,47.47769,187.2006
65,19.10152,84,1772,0.08,-0.03866861,44.97189,180.7228
62,19.37132,84,1699,0.08,-0.04727718,43.50214,182.3277
60,19.10792,84,1669,0.06,-0.03922114,41.52642,177.1755
59,18.95825,84,1646,0.05,-0.05882511,40.51446,175.2733
57,19.30252,84,1626,0.06,-0.03563535,39.85187,174.5274
57,20.97136,84,1636,0.12,-0.01991287,43.29734,188.4575
58,21.92872,84,1656,0.15,0.01771709,46.06818,198.0962
59,22.6225,84,1654,0.17,0.03253403,48.34509,208.1384
59,20.21537,84,1647,0.1,0.01481693,43.20097,186.7821
58,19.93885,84,1628,0.08,-0.01747325,41.88783,183.2183
57,20.0144,84,1610,0.08,-0.01447224,41.32162,182.7624
57,19.62345,84,1606,0.07,-0.01447224,40.51446,179.6387
57,19.23833,84,1588,0.06,-1.41E-17,39.71935,178.1095
56,19.21958,86,1576,0.06,-0.0172439,38.98447,176.1452
55,18.25676,86,1543,0.03,-0.01995778,36.37025,167.8479
55,17.60365,86,1517,0.03,-0.01995778,35.06916,164.6172
54,17.41227,86,1501,0.03,-0.01995232,34.0572,161.5711
53,18.24912,86,1500,0.05,-0.0151959,35.03302,166.3113
53,20.06273,86,1533,0.1,-1.41E-17,38.51464,178.9036
55,20.57287,86,1560,0.12,0.03810465,40.98429,187.0804
55,21.71581,86,1571,0.14,0.03810465,43.2612,196.0911
56,20.58562,86,1566,0.11,0.01904076,41.75531,189.8696
56,20.11047,86,1555,0.1,-1.13E-17,40.79154,186.7993
55,20.45798,86,1534,0.09,-0.01575692,40.7554,189.1887
54,19.62345,86,1496,0.08,-0.01873827,38.38212,182.6976
53,19.76151,86,1472,0.07,-0.01958824,37.93637,183.52
52,19.5403,86,1458,0.08,-0.03344541,36.80395,179.7514
51,20.62777,86,1127,0.1,-0.03206944,38.10503,240.7653
51,12.09754,86,1080,0.03,-0.01821227,22.3474,147.3461
48,18.3762,87,1820,0.02,-0.05185704,31.94896,125.0031
44,27.878,87,1741,0.09,-0.09871932,44.42977,181.7234
42,34.11535,87,1718,0.2,-0.03644866,51.89899,215.1152
42,34.68552,87,1702,0.22,-0.01821612,52.76638,220.7665
42,32.99084,87,1619,0.19,-5.66E-18,50.18829,220.7451
40,30.11701,87,1546,0.12,-0.03694309,43.63466,200.9822
37,28.93627,87,1461,0.08,-0.09155082,38.77967,189.012
34,27.51783,87,1372,0.06,-0.05106784,33.88854,175.8872
34,27.87,87,1362,0.08,-0.03145963,34.32224,179.4461
33,29.05722,87,1383,0.09,-0.01957643,34.73184,178.8303
34,30.6971,87,1428,0.11,0.01960539,37.80386,188.5139
35,30.63729,87,1448,0.12,0.02122709,38.83991,191.0052
36,29.8694,87,1470,0.12,0.04112934,38.94833,188.6718
37,30.05993,87,1510,0.11,0.01573376,40.28556,189.98
38,28.98004,87,1494,0.1,0.03502182,39.88801,190.1197
37,28.10927,87,1518,0.06,-0.000332752,37.67134,176.7155
37,27.33619,87,1539,0.06,-0.01962081,36.63528,169.5104
39,28.7316,87,1582,0.08,0.02575818,40.58674,182.6893
39,27.23916,87,1609,0.04,5.66E-18,38.4785,170.2933
40,26.55818,87,1621,0.04,0.01746727,38.4785,169.0326
41,26.55939,87,1661,0.03,0.03214825,39.44226,169.0938
41,26.72164,87,1690,0.04,0.01468098,39.68321,167.2074
