Time (sec),Vehicle speed (km/h),Instant fuel economy (l/100 km),Engine coolant temperature (°C),Engine RPM (RPM),Boost (bar),Engine Power (hp),Engine Torque (N•m)
27.374,78,39.5326,63,2258,1.55,111.6888,352.2259
27.424,78,39.5326,63,2258,1.55,111.6888,352.2259
27.474,78,39.5326,63,2258,1.55,111.6888,352.2259
27.524,78,39.5326,63,2258,1.55,111.6888,352.2259
27.574,78,39.5326,63,2258,1.55,111.6888,352.2259
27.624,78,39.5326,63,2258,1.55,111.6888,352.2259
27.674,78,39.5326,63,2258,1.55,111.6888,352.2259
27.724,78,39.5326,63,2258,1.55,111.6888,352.2259
27.775,78,39.5326,63,2258,1.55,111.6888,352.2259
27.824,78,39.5326,63,2258,1.55,111.6888,352.2259
27.875,78,39.5326,63,2258,1.55,111.6888,352.2259
27.925,78,39.5326,63,2258,1.55,111.6888,352.2259
27.975,78,39.5326,63,2258,1.55,111.6888,352.2259
28.025,78,39.5326,63,2258,1.55,111.6888,352.2259
28.075,82,47.87019,63,2396,1.55,142.1801,422.5591
28.125,82,47.87019,63,2396,1.55,142.1801,422.5591
28.175,82,47.87019,63,2396,1.55,142.1801,422.5591
28.225,82,47.87019,63,2396,1.55,142.1801,422.5591
28.275,82,47.87019,63,2396,1.55,142.1801,422.5591
28.325,82,47.87019,63,2396,1.55,142.1801,422.5591
28.375,82,47.87019,63,2396,1.55,142.1801,422.5591
28.425,82,47.87019,63,2396,1.55,142.1801,422.5591
28.475,82,47.87019,63,2396,1.55,142.1801,422.5591
28.525,82,47.87019,63,2396,1.55,142.1801,422.5591
28.575,82,47.87019,63,2396,1.55,142.1801,422.5591
28.625,82,47.87019,63,2396,1.55,142.1801,422.5591
28.675,82,47.87019,63,2396,1.55,142.1801,422.5591
28.725,82,47.87019,63,2396,1.55,142.1801,422.5591
28.775,82,47.87019,63,2396,1.55,142.1801,422.5591
28.825,88,40.75494,63,2523,1.55,129.9041,366.641
28.875,88,40.75494,63,2523,1.55,129.9041,366.641
28.925,88,40.75494,63,2523,1.55,129.9041,366.641
28.975,88,40.75494,63,2523,1.55,129.9041,366.641
29.025,88,40.75494,63,2523,1.55,129.9041,366.641
29.075,88,40.75494,63,2523,1.55,129.9041,366.641
29.126,88,40.75494,63,2523,1.55,129.9041,366.641
29.176,88,40.75494,63,2523,1.55,129.9041,366.641
29.226,88,40.75494,63,2523,1.55,129.9041,366.641
29.276,88,40.75494,63,2523,1.55,129.9041,366.641
29.326,88,40.75494,63,2523,1.55,129.9041,366.641
29.376,88,40.75494,63,2523,1.55,129.9041,366.641
29.426,88,40.75494,63,2523,1.55,129.9041,366.641
29.476,88,40.75494,63,2523,1.55,129.9041,366.641
29.526,91,40.56634,63,2648,1.55,133.711,359.5709
29.576,91,40.56634,63,2648,1.55,133.711,359.5709
29.626,91,40.56634,63,2648,1.55,133.711,359.5709
29.676,91,40.56634,63,2648,1.55,133.711,359.5709
29.726,91,40.56634,63,2648,1.55,133.711,359.5709
29.776,91,40.56634,63,2648,1.55,133.711,359.5709
29.826,91,40.56634,63,2648,1.55,133.711,359.5709
29.876,91,40.56634,63,2648,1.55,133.711,359.5709
